name,category,address,phone,email,website,hours_raw,source_query,gmaps_url
Alleybar,Bar,"2 Emerald Hill Rd, Peranakan Place, Singapore 229287",,,http://www.alleybar.sg/,Tuesday 5 pm–12 am | Wednesday 5 pm–12 am | Thursday 5 pm–12 am | Friday 5 pm–2 am | Saturday 5 pm–2 am | Sunday 5 pm–12 am | Monday 5 pm–12 am | Tuesday5–8 pm | Wednesday5–8 pm | Thursday5–8 pm | Friday5–8 pm | Saturday5–8 pm | Sunday5–8 pm | Monday5–10 pm,bars Singapore,https://www.google.com/maps/place/Alleybar/data=!4m7!3m6!1s0x31da1996cc5e4153:0x7d68f3894cfdb08f!8m2!3d1.3015903!4d103.8392131!16s%2Fg%2F1tmz4fyq!19sChIJU0FezJYZ2jERj7D9TInzaH0?authuser=0&hl=en&rclk=1
Paradise Now - Restaurant & Bar,Restaurant,"28 Choa Chu Kang Dr, #04-02 SAFRA, Singapore 689964",+65 8150 0420,hello@paradisenow.sg,https://paradisenow.sg/,Tuesday 5 pm–1 am | Wednesday 5 pm–1 am | Thursday 5 pm–1 am | Friday 5 pm–1 am | Saturday 11 am–1 am | Sunday 11 am–1 am | Monday 5 pm–1 am | Tuesday5–8 pm | Wednesday5–8 pm | Thursday5–8 pm | Friday5–8 pm | Saturday11 am–8 pm | Sunday11 am–8 pm | Monday5–8 pm | Tuesday5–9:30 pm | Wednesday5–9:30 pm | Thursday5–9:30 pm | Friday5–9:30 pm | Saturday11 am–9:30 pm | Sunday11 am–9:30 pm | Monday5–9:30 pm | Tuesday5 pm–12 am | Wednesday5 pm–12 am | Thursday5 pm–12 am | Friday5 pm–12 am | Saturday11 am–12 am | Sunday11 am–12 am | Monday5 pm–12 am | Tuesday5–10 pm | Wednesday5–10 pm | Thursday5–10 pm | Friday5–10 pm | Saturday5–10 pm | Sunday5–10 pm | Monday5–10 pm | TuesdayClosed | WednesdayClosed | ThursdayClosed | FridayClosed | Saturday11 am–5 pm | Sunday11 am–5 pm | MondayClosed,bars Singapore,https://www.google.com/maps/place/Paradise+Now+-+Restaurant+%26+Bar/data=!4m7!3m6!1s0x31da1160ca317cc3:0x849eb0e9795499a9!8m2!3d1.3887429!4d103.7472584!16s%2Fg%2F11t_yxzxs8!19sChIJw3wxymAR2jERqZlUeemwnoQ?authuser=0&hl=en&rclk=1
ATLAS,Cocktail bar,"600 N Bridge Rd, Parkview Square, Singapore 188778",+65 6396 4466,info@atlasbar.sg,http://www.atlasbar.sg/,Tuesday12 pm–12 am | Wednesday12 pm–12 am | Thursday12 pm–12 am | Friday12 pm–2 am | Saturday12 pm–2 am | SundayClosed | Monday3 pm–12 am,bars Singapore,https://www.google.com/maps/place/ATLAS/data=!4m7!3m6!1s0x31da19b066f8cac9:0x1a822ab9ded25293!8m2!3d1.3001138!4d103.8577754!16s%2Fg%2F11g6mh85c_!19sChIJycr4ZrAZ2jERk1LS3rkqgho?authuser=0&hl=en&rclk=1
Republic Bar Singapore,Bar,"7 Raffles Ave., Singapore 039799",+65 6434 5289,rc.sinrz.restaurantreservations@ritzcarlton.com,http://www.republicbar.com.sg/,Tuesday8 am–12 am | Wednesday8 am–12 am | Thursday8 am–12 am | Friday8 am–1 am | Saturday8 am–1 am | Sunday8 am–12 am | Monday8 am–12 am,bars Singapore,https://www.google.com/maps/place/Republic+Bar+Singapore/data=!4m7!3m6!1s0x31da1985849fee1b:0xdad9016b81ae5ae4!8m2!3d1.2903805!4d103.8603647!16s%2Fg%2F11pwv92mny!19sChIJG-6fhIUZ2jER5FqugWsB2do?authuser=0&hl=en&rclk=1
Manhattan,Cocktail bar,"1 Cuscaden Rd, Level 2, Singapore 249715",+65 6725 3377,,http://www.conradsingaporeorchard.com/manhattan,Tuesday5 pm–12 am | Wednesday5 pm–12 am | Thursday5 pm–12 am | Friday5 pm–1 am | Saturday5 pm–1 am | Sunday12–3 pm6 pm–12 am | Monday5 pm–12 am,bars Singapore,https://www.google.com/maps/place/Manhattan/data=!4m7!3m6!1s0x31da198bb197e287:0xec005ec6232f9dbe!8m2!3d1.3047647!4d103.8251569!16s%2Fg%2F1q64qk3_v!19sChIJh-KXsYsZ2jERvp0vI8ZeAOw?authuser=0&hl=en&rclk=1
No.5 Emerald Hill,Cocktail bar,"5 Emerald Hill Rd, Singapore 229289",+65 6732 0818,info@emerald-hill.com,http://www.emerald-hill.com/,Tuesday12 pm–2 am | Wednesday12 pm–2 am | Thursday12 pm–2 am | Friday12 pm–3 am | Saturday12 pm–3 am | Sunday12 pm–2 am | Monday12 pm–2 am,bars Singapore,https://www.google.com/maps/place/No.5+Emerald+Hill/data=!4m7!3m6!1s0x31da1996cb3f8cc9:0xe84698aeb66591ef!8m2!3d1.3018148!4d103.8390852!16s%2Fg%2F1tfd9zxx!19sChIJyYw_y5YZ2jER75Fltq6YRug?authuser=0&hl=en&rclk=1
Native,Cocktail bar,"52A Amoy St, Singapore 069878",+65 8869 6520,info@tribenative.com,http://tribenative.com/,Tuesday6 pm–12 am | Wednesday6 pm–12 am | Thursday6 pm–12 am | Friday6 pm–2 am | Saturday6 pm–2 am | SundayClosed | Monday6 pm–12 am,bars Singapore,https://www.google.com/maps/place/Native/data=!4m7!3m6!1s0x31da190d64539b79:0x3bd8a2fabc3d6577!8m2!3d1.2801256!4d103.8468629!16s%2Fg%2F11c2plsy4q!19sChIJeZtTZA0Z2jERd2U9vPqi2Ds?authuser=0&hl=en&rclk=1
Tap House,Pub,"2 Venture Dr, #01-12 / 13 Vision Exchange, Singapore 608526",+65 8382 6288,,,Tuesday3 pm–1 am | Wednesday3 pm–1 am | Thursday3 pm–1 am | Friday3 pm–1 am | Saturday6 pm–2 am | Sunday6 pm–1 am | Monday3 pm–1 am,bars Singapore,"https://www.google.com/maps/place/Tap+House/@1.3299464,103.7446555,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1111ab77f5a5:0xb3d72a6b7e74b3d!8m2!3d1.3299464!4d103.7446555!16s%2Fg%2F11y409f282?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Star Bagawan Bar By The River,Bar,"82 Boat Quay, #01-01A, Singapore 049870",+65 9231 8513,,,Tuesday 7 pm–3 am | Wednesday 7 pm–3 am | Thursday 7 pm–4 am | Friday 7 pm–4 am | Saturday 7 pm–4 am | Sunday 7 pm–3 am | Monday 7 pm–3 am | Tuesday7 pm–3 am | Wednesday7 pm–3 am | Thursday7 pm–3 am | Friday7 pm–3 am | Saturday7 pm–4 am | Sunday7 pm–3 am | Monday7 pm–3 am | Tuesday7 pm–3 am | Wednesday7 pm–3 am | Thursday7 pm–4 am | Friday7 pm–4 am | Saturday7 pm–4 am | Sunday7 pm–3 am | Monday7 pm–3 am | Tuesday7 pm–3 am | Wednesday7 pm–3 am | Thursday7 pm–3 am | Friday7 pm–3 am | Saturday7 pm–4 am | Sunday7 pm–3 am | Monday7 pm–3 am,bars Singapore,"https://www.google.com/maps/place/Star+Bagawan+Bar+By+The+River/@1.2885832,103.8493318,17z/data=!4m7!3m6!1s0x31da19007888347f:0x78a10c021be2fdce!8m2!3d1.2885832!4d103.8493318!10e2!16s%2Fg%2F11y3hrsvqb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D"
The Spiffy Dapper,Cocktail bar,"294 River Valley Rd, Singapore 238335",+65 9248 3771,,http://spiffydapper.com/,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–2 am | Saturday5 pm–2 am | Sunday5 pm–1 am | Monday5 pm–1 am,bars Singapore,https://www.google.com/maps/place/The+Spiffy+Dapper/data=!4m7!3m6!1s0x31da19ff963821f5:0x53270418cb39cbf8!8m2!3d1.2953566!4d103.841618!16s%2Fg%2F11lrn32md4!19sChIJ9SE4lv8Z2jER-Ms5yxgEJ1M?authuser=0&hl=en&rclk=1
Gibson Bar,Cocktail bar,"20 Bukit Pasoh Rd, #2nd Floor, Singapore 089834",+65 9114 8385,info@gibsonbar.sg,http://www.gibsonbar.sg/,Tuesday 6 pm–12 am | Wednesday 6 pm–1 am | Thursday 6 pm–1 am | Friday 6 pm–2 am | Saturday 6 pm–2 am | Sunday 6 pm–12 am | Monday 6 pm–12 am | Tuesday6–8 pm | Wednesday6–8 pm | Thursday6–8 pm | Friday6–8 pm | Saturday6–8 pm | Sunday6–8 pm | Monday6–8 pm,bars Singapore,https://www.google.com/maps/place/Gibson+Bar/data=!4m7!3m6!1s0x31da196d8de40db3:0x32419f831e22834f!8m2!3d1.279085!4d103.840924!16s%2Fg%2F11bwp30wtx!19sChIJsw3kjW0Z2jERT4MiHoOfQTI?authuser=0&hl=en&rclk=1
The House Bar,Bar,"1 Cuscaden Rd, #01-02 Conrad Singapore, Singapore 249715",+65 8031 2697,thehousebarsg@gmail.com,https://thehousebar.com.sg/,Tuesday 5 pm–12 am | Wednesday 5 pm–12 am | Thursday 5 pm–12 am | Friday 5 pm–1 am | Saturday 5 pm–1 am | Sunday Closed | Monday 5 pm–12 am | Tuesday5–7 pm | Wednesday5–7 pm | Thursday5–7 pm | Friday5–7 pm | Saturday5–7 pm | SundayClosed | Monday5–7 pm,bars Singapore,https://www.google.com/maps/place/The+House+Bar/data=!4m7!3m6!1s0x31da197a81f146cf:0xfce55cab6c03c7c!8m2!3d1.3046549!4d103.8249313!16s%2Fg%2F11rvdc062p!19sChIJz0bxgXoZ2jERfDzAtspVzg8?authuser=0&hl=en&rclk=1
Oriental Elixir,Cocktail bar,"Inside Spiffy Dapper, 294 River Valley Rd, 238335",+65 8949 1466,,https://www.instagram.com/oriental.elixir/,Tuesday7 pm–1 am | Wednesday7 pm–1 am | Thursday7 pm–1 am | Friday7 pm–1 am | Saturday7 pm–1 am | Sunday7 pm–1 am | MondayClosed,bars Singapore,https://www.google.com/maps/place/Oriental+Elixir/data=!4m7!3m6!1s0x31da192f9272157f:0x1625902ff1ac4b74!8m2!3d1.295386!4d103.841737!16s%2Fg%2F11h6yr5vmq!19sChIJfxVyki8Z2jERdEus8S-QJRY?authuser=0&hl=en&rclk=1
Burnt Ends Bar,Bar,"7 Dempsey Rd, #01-04, Singapore 249671",+65 8073 3948,eat@burntends.com.sg,https://burntends.com.sg/reservation/#1663565146092-9bbb650c-44fd,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–1 am | Saturday5 pm–2 am | SundayClosed | MondayClosed,bars Singapore,https://www.google.com/maps/place/Burnt+Ends+Bar/data=!4m7!3m6!1s0x31da1bf0a80291b3:0xb1ecb48fc6e4574a!8m2!3d1.3046218!4d103.8089078!16s%2Fg%2F11y3dcx91n!19sChIJs5ECqPAb2jERSlfkxo-07LE?authuser=0&hl=en&rclk=1
Sago House,Bar,"37 Duxton Hl, Singapore 089615",+65 8874 9936,,https://instagram.com/sagohouse.sg?igshid=NGVhN2U2NjQ0Yg%3D%3D&utm_source=qr,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–1 am | Saturday5 pm–2 am | Sunday5 pm–1 am | Monday5 pm–1 am,bars Singapore,https://www.google.com/maps/place/Sago+House/data=!4m7!3m6!1s0x31da19a933bccaa1:0xa18246556acaf7d6!8m2!3d1.27849!4d103.842802!16s%2Fg%2F11jt9h5ql9!19sChIJocq8M6kZ2jER1vfKalVGgqE?authuser=0&hl=en&rclk=1
The Backdrop,Cocktail bar,"581 Orchard Rd, #01-15/16 - 238883 Voco Orchard Singapore, Singapore 238883",+65 9645 4780,events@thebackdrop.sg,https://www.thebackdrop.sg/,TuesdayClosed | Wednesday6 pm–2 am | Thursday6 pm–2 am | Friday7 pm–3 am | Saturday7 pm–3 am | Sunday6 pm–2 am | MondayClosed,bars Singapore,https://www.google.com/maps/place/The+Backdrop/data=!4m7!3m6!1s0x31da1993c8db0345:0xefc447cfe6f168e7!8m2!3d1.3060744!4d103.8293006!16s%2Fg%2F11l245yglb!19sChIJRQPbyJMZ2jER52jx5s9HxO8?authuser=0&hl=en&rclk=1
The Bar KAKURE,Bar,"29 Scotts Rd, Singapore 228224",+65 9061 6109,info@thebarkakure.com,https://thebarkakure.com/,Tuesday6 pm–1 am | Wednesday6 pm–1 am | Thursday6 pm–1 am | Friday6 pm–1 am | Saturday6 pm–1 am | SundayClosed | Monday6 pm–1 am,bars Singapore,https://www.google.com/maps/place/The+Bar+KAKURE/data=!4m7!3m6!1s0x31da19ed987aaaab:0x133fc262eb53a857!8m2!3d1.3105252!4d103.8345856!16s%2Fg%2F11h7s4hj_4!19sChIJq6p6mO0Z2jERV6hT62LCPxM?authuser=0&hl=en&rclk=1
Quaich Bar Collector,Bar,"390A Havelock Rd, Singapore 169664",+65 8181 3832,wanderlust@whiskystore.com.sg,http://www.quaichbar.com.sg/,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–2 am | Saturday5 pm–2 am | Sunday5 pm–1 am | Monday5 pm–1 am,bars Singapore,https://www.google.com/maps/place/Quaich+Bar+Collector/data=!4m7!3m6!1s0x31da199d6cd14387:0x334a9162ea0ab5ad!8m2!3d1.2899036!4d103.835146!16s%2Fg%2F1thscfwj!19sChIJh0PRbJ0Z2jERrbUK6mKRSjM?authuser=0&hl=en&rclk=1
Chupitos,Restaurant,"3E River Valley Road #01-01, The Circuit, CQ@, Clarke Quay, 179024",+65 8761 8117,info@chupitos.sg,http://chupitos.sg/,Tuesday5:30 pm–1:30 am | Wednesday5:30 pm–1:30 am | Thursday5:30 pm–1:30 am | Friday5:30 pm–3 am | Saturday4:30 pm–3 am | Sunday4:30 pm–1:30 am | Monday5:30 pm–1:30 am,bars Singapore,https://www.google.com/maps/place/Chupitos/data=!4m7!3m6!1s0x31da19a03d9d6b8d:0x94d4618a8759f376!8m2!3d1.2901911!4d103.8462401!16s%2Fg%2F1tf55db6!19sChIJjWudPaAZ2jERdvNZh4ph1JQ?authuser=0&hl=en&rclk=1
Acid Bar & Restaurant,Restaurant,"180 Orchard Rd, Singapore 238846",,hello@peranakanplace.com,https://www.acidbar.sg/,Tuesday 11:30 am–12 am | Wednesday 11:30 am–12 am | Thursday 11:30 am–12 am | Friday 11:30 am–2 am | Saturday 11 am–2 am | Sunday 11 am–12 am | Monday 11:30 am–12 am | Tuesday11:30 am–3 pm | Wednesday11:30 am–3 pm | Thursday11:30 am–3 pm | Friday11:30 am–3 pm | SaturdayClosed | SundayClosed | Monday11:30 am–3 pm | Tuesday5–8 pm | Wednesday5–8 pm | Thursday5–8 pm | Friday5–7 pm | Saturday5–7 pm | Sunday5–8 pm | Monday5–8 pm | TuesdayClosed | WednesdayClosed | ThursdayClosed | FridayClosed | Saturday11 am–3 pm | Sunday11 am–3 pm | MondayClosed,bars Singapore,https://www.google.com/maps/place/Acid+Bar+%26+Restaurant/data=!4m7!3m6!1s0x31da1996d05c9d45:0x70810a572801f5df!8m2!3d1.3015153!4d103.8391555!16s%2Fg%2F1td563_4!19sChIJRZ1c0JYZ2jER3_UBKFcKgXA?authuser=0&hl=en&rclk=1
Las Palmas Rooftop Bar,Bar,"99 Irrawaddy Rd, Level 33 Courtyard Marriott Singapore, Singapore 329568",+65 6250 0303,fnb.courtyardsg@marriott.com,http://laspalmasbar.com/,Tuesday5 pm–12 am | Wednesday5 pm–12 am | Thursday5 pm–12 am | Friday5 pm–1 am | Saturday3 pm–1 am | Sunday3 pm–12 am | MondayClosed,bars Singapore,https://www.google.com/maps/place/Las+Palmas+Rooftop+Bar/data=!4m7!3m6!1s0x31da19e73e4f3def:0x78109381939f4081!8m2!3d1.3205847!4d103.843232!16s%2Fg%2F11gcf6j7hr!19sChIJ7z1PPucZ2jERgUCfk4GTEHg?authuser=0&hl=en&rclk=1
Employees Only Singapore,Cocktail bar,"112 Amoy St, Singapore 069932",+65 6221 7357,reservations@employeesonlysg.com,http://employeesonlysg.com/,Tuesday 5 pm–1 am | Wednesday 5 pm–1 am | Thursday 5 pm–1 am | Friday 5 pm–2 am | Saturday 5 pm–2 am | Sunday 5 pm–1 am | Monday 5 pm–1 am | Tuesday5–9:30 pm | Wednesday5:30–9:30 pm | Thursday5:30–9:30 pm | Friday5:30–9:30 pm | Saturday5:30–9:30 pm | Sunday5:30–9:30 pm | Monday5:30–9:30 pm,bars Singapore,https://www.google.com/maps/place/Employees+Only+Singapore/data=!4m7!3m6!1s0x31da190d000c726b:0xbf4dc480c93125a6!8m2!3d1.2820556!4d103.8476771!16s%2Fg%2F11cn9p2z1r!19sChIJa3IMAA0Z2jERpiUxyYDETb8?authuser=0&hl=en&rclk=1
Quaich Bar Avant-Garde,Bar,"South Beach Avenue, 30 Beach Rd, 189763",+65 9828 1328,wanderlust@whiskystore.com.sg,http://www.quaichbar.com.sg/,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–2 am | Saturday5 pm–2 am | Sunday5 pm–1 am | Monday5 pm–1 am,bars Singapore,https://www.google.com/maps/place/Quaich+Bar+Avant-Garde/data=!4m7!3m6!1s0x31da19a5fc75927f:0x4f8ac9c25f866087!8m2!3d1.2939201!4d103.8558754!16s%2Fg%2F11c2p3rn2m!19sChIJf5J1_KUZ2jERh2CGX8LJik8?authuser=0&hl=en&rclk=1
beGIN,Bar,"27a Boat Quay, The Penny Black Upstairs, Singapore 049817",+65 9724 8423,,http://www.begin.com.sg/,Tuesday5 pm–12 am | Wednesday5 pm–12 am | Thursday5 pm–12 am | Friday5 pm–1 am | Saturday5 pm–1 am | SundayClosed | Monday5 pm–12 am,bars Singapore,https://www.google.com/maps/place/beGIN/data=!4m7!3m6!1s0x31da19bacb5a7809:0xaa06a22c438aa79b!8m2!3d1.2858968!4d103.8499393!16s%2Fg%2F11fj5s37rq!19sChIJCXhay7oZ2jERm6eKQyyiBqo?authuser=0&hl=en&rclk=1
The Elephant Room Singapore,Cocktail bar,"33 Tg Pagar Rd, #01-02, Singapore 088456",+65 9111 5131,info@theelephantroom.sg,http://www.theelephantroom.sg/,Tuesday 6 pm–12 am | Wednesday 6 pm–12 am | Thursday 6 pm–2 am | Friday 6 pm–2 am | Saturday 6 pm–2 am | Sunday 6 pm–12 am | Monday Closed | Tuesday6–10:30 pm | Wednesday6–10:30 pm | Thursday6–10:30 pm | Friday6–10:30 pm | Saturday6–10:30 pm | Sunday6–10:30 pm | MondayClosed,cocktail bars Singapore,https://www.google.com/maps/place/The+Elephant+Room+Singapore/data=!4m7!3m6!1s0x31da195ff1323fbd:0x9c41c9387c879f32!8m2!3d1.279188!4d103.844008!16s%2Fg%2F11fnqk14p6!19sChIJvT8y8V8Z2jERMp-HfDjJQZw?authuser=0&hl=en&rclk=1
Punch Room Singapore,Bar,"38 Cuscaden Rd, LG, Singapore 249731",+65 6329 5000,PunchRoom.sgedition@editionhotels.com,https://www.editionhotels.com/singapore/restaurants-and-bars/punch-room/,Tuesday8 pm–2 am | Wednesday8 pm–2 am | Thursday8 pm–2 am | Friday8 pm–2 am | Saturday8 pm–2 am | SundayClosed | MondayClosed,cocktail bars Singapore,https://www.google.com/maps/place/Punch+Room+Singapore/data=!4m7!3m6!1s0x31da19de82978b85:0xc32ec6dca4ad42b8!8m2!3d1.3053638!4d103.8274224!16s%2Fg%2F11vpf2xzs2!19sChIJhYuXgt4Z2jERuEKtpNzGLsM?authuser=0&hl=en&rclk=1
Salud,Cocktail bar,"19 Keong Saik Rd., Singapore 089126",+65 9029 0004,,,Tuesday6 pm–1 am | Wednesday6 pm–1 am | Thursday6 pm–1 am | Friday6 pm–1 am | Saturday6 pm–2 am | SundayClosed | Monday6 pm–1 am,cocktail bars Singapore,"https://www.google.com/maps/place/Salud/@1.2797204,103.8414484,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19bec4199031:0xdb7843cfb14c90de!8m2!3d1.2797204!4d103.8414484!16s%2Fg%2F11kjqmp6cx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D"
