name,category,description,website,whatsapp,page_url,active_deal_count,deal_titles
AC Vision Design,Renovation & ID,"Our Story
Your Dream, We Actualize

At AC Vision Design, we transform your dream interiors into reality with a blend of creativity and functionality. As a leading interior design firm in Singapore, we specialise in HDB, condo, and commercial projects, ensuring each space reflects your unique vision and lifestyle.

With more than 10 years of experience in creating stunning interiors for homes in Singapore, AC Vision Design takes pride in delivering exquisite interiors that reflect, creativity, individuality, and functionality. ",https://www.acvision.com.sg/,+6598485080,https://btogroupbuy.sg/brand/ac-vision-design-6233b5c5-3e16-488f-8832-e856b6b47257,1,HDB BTO Renovation Package (Premium)
Ace Curtains & Furnishing,Window & Curtain,"About Us
Since 2015, Ace Curtains have been committed to provide high quality custom curtains and blinds at affordable prices. 

Our consultants and installation team have more than 10 years of experience, making us the experts in the industry.  From material selection to installation, our team will ensure that you get a hassle-free experience.

We have had over 10,000 satisfied customers & businesses and counting since, and pride ourselves as a trusted name in the window covering industry. And we aim to continue to provide good quality curtains & blinds with fast lead time of 10-14 working days. ",https://acecurtains.com.sg/,+6597392341,https://btogroupbuy.sg/brand/ace-curtains-furnishing-83d8a20b-04df-4a32-be44-dc879fd4e71c,1,HDB BTO Curtain Packages from $500 only
Advance Inspection,Defect Checking,"DEFECTS INSPECTION SERVICE
Our inspection team will thoroughly inspect your properties and assess the conditions of the following through the industries quality standards and also for compliance with BCA's guidelines, and if not found satisfactory, ensuring that developers are informed, and does the necessary rectification works.

​

Our specialists will guide you through the following process:

​

1st Inspection: Identifying defective works & report submission to client and / or developer

2nd Inspection: Joint inspection appointment with client & developer on defective works

3rd Inspection: Conducting of final inspection on developer rectification works

​

* All our reports are image documented. Full set soft-copy report will be submitted to you.

** For development using NOVADE, defects submission will be via app too.

​",https://www.advanceinspection.sg/,+6587480988,https://btogroupbuy.sg/brand/advance-inspection-ae7db538-04f2-4e54-b4d4-45511a90793d,4,Tampines Greenjade Defect Check Saving 15% | WoodGrove Ascent Defect Inspection Saving 15% OFF | Defect inspection for Condo from $200 with extra 15% OFF  | Defect inspection for HDB from $150 with extra 15% OFF
Aircon Fairprice,Aircon Installation,"Aircon Fairprice Singapore
At Aircon Fairprice, we specialize in delivering efficient and affordable air conditioning services tailored to your needs. Whether it’s for your home, office, or commercial space, our experienced team is committed to providing reliable solutions with a focus on customer satisfaction!",https://airconfairprice.sg/,6588982345,https://btogroupbuy.sg/brand/aircon-fairprice-503d0d50-8aaf-4246-a6be-790f9ec5329e,1,New Aircon Installation Rebate Up to $300
Aircon Rescue,Aircon Installation,"About Aircon Rescue
Aircon Rescue is your trusted partner for expert air conditioning services in Singapore. With 6 years of experience and a proven track record of successfully servicing over 9,000 aircon units, we specialize in keeping your cooling systems running smoothly and efficiently. Our team of skilled technicians is dedicated to providing top-notch service and prompt solutions, ensuring a comfortable indoor environment for both homes and businesses. From routine maintenance and repairs to professional installations and thorough cleaning, we offer a comprehensive range of services tailored to your specific needs. Contact us today to experience the Aircon Rescue difference.",https://airconrescue.sg/,88696565,https://btogroupbuy.sg/brand/aircon-rescue-9d361cbf-d4f8-46f8-b8b0-297bffcffa18,2,Aircon Installation SAVING $600 | Aircon Installation from $2300 + 6years Warranty
Amyth Aircon,Aircon Installation,"Why choose Amyth?

No Middleman
Without the need to outsource our services, we are able to provide a competitive market rate

Fast Response
We always strive to respond as soon as possible to our clients, making us efficient in every project

Professional & Experienced
Our 10 years of experience in air-con servicing & installation allows us to deliver quality assurance

30 Days Workmanship
Stay risk-free with our 30 days warranty on installation or replacement of parts",https://amythllp.com/,+6583835159,https://btogroupbuy.sg/brand/amyth-aircon-8ec47f7d-d681-4264-a598-e7658d423df0,2,BTO Ceiling Fan Bundle Deals from $329/unit | BTO Aircon installation only from $2488
An Digital Lock Coming Soon,Door & Locks,"Tired of fumbling with keys or worrying about home security? 🔑
Introducing the latest smart digital locks — designed for BTO homes and modern lifestyles.

At AN Digital Lock Singapore, we specialize in bringing the latest smart home security solutions to every household. From advanced digital locks to cutting-edge home access systems, our mission is simple — to make your home safer, smarter, and more convenient.

Whether you want facial recognition, fingerprint unlock, WiFi control, or even Marvel’s official Spider-Man digital lock, we’ve got the perfect smart lock solution for your family.
✔️ Seamless 1-way or 2-way sync
✔️ Multiple access modes (PIN, RFID, App, Mechanical key & more)
✔️ Trusted brands: Solity, Hafele, Philips, Marvel

❤️ Imagine walking up to your door — no keys, no hassle. Just a quick scan, and you’re in.
✨ Exclusive perks:
Huge savings with Group Buy Prices (up to $400 off!)
Get a FREE Spider-Man Gaming Chair (Marvel Lock only)
Singapore’s 1st push-pull lock with facial recognition


🔒 Upgrade your home today with the best safety & convenience at unbeatable group buy prices!
📩 Join Deals now to reserve your lock & enjoy the promo before it ends.",https://andigitallock.com/, +6591895712,https://btogroupbuy.sg/brand/an-digital-lock-coming-soon-eac7f6ec-1311-44e2-b2cd-618b4b907aa4,2,Coming Soon | Coming Soon
AsC Racking,Home & Living,"At ASC Racking, we specialize in providing high-quality storage solutions that meet and exceed your expectations. Our durable and versatile storage racks in Singapore are designed to help you make the most of your available space while maintaining a neat and efficient environment. From storeroom racks for residential use to heavy-duty boltless racks for warehouses and commercial spaces, we offer a complete range of options to suit your needs.

Each storage rack is carefully designed to ensure easy assembly, maximum load-bearing capacity, and long-lasting performance. Whether you’re organizing your storeroom, office, or industrial facility, our storage racks help improve accessibility, safety, and productivity. With years of expertise and a commitment to quality, ASC Racking is your trusted partner for reliable and customizable storage racks in Singapore that deliver both functionality and value.",https://asc-racking.com/,8168 0368,https://btogroupbuy.sg/brand/asc-racking-f3705452-77cc-4d7b-a2b9-bee2d64e0ab2,2,🔥BTO Bomb Shelter Single Rack Group Buy - From $225🔥 | 🔥BTO Bomb Shelter Storage Rack Group Buy – From $315🔥
Assuring Home Quality,Defect Checking,Assure Home Inspection is happy to offer a Home Inspection for all. We have a great discount for your developments' defect inspection.  ,,+6588342742 ,https://btogroupbuy.sg/brand/assuring-home-quality-02146d67-0792-4291-a4ad-2a94df6d2f13,1,HDB Assure Home Inspection from $300 only
Bath & Co,Bathroom,"BATH & CO.
We are thrilled to have you here today. Our showroom is designed and curated with an extensive range of top-quality bathroom and kitchen accessories to serve the needs for your beautiful home.

We are a fine purveyor of the latest and most innovative designs in sanitary wares including faucets, showers, toilets, wash basins and more. We understand your home is your sanctuary and we believe that your choice should reflect your personal style and taste. That’s why we offer you widest selection of products to suit your budget and design preference.

At our showroom, we are committed to providing you with exceptional service experience that accompanies with the highest quality products.

Thank you and we look forward to your visit at our showroom and helping you to create the perfect bathroom and kitchen for your home…",https://bathnco.com.sg/,+6598889926,https://btogroupbuy.sg/brand/bath-co-e96f0afc-51e7-4b5b-b55c-fc8be5b41b4f,1,Vinity Cabinet Hot Sale from $899
Be Mitey Clean,Cleaning Services,"✨ Move Into Your New Home the Clean & Healthy Way ✨

Just collected your BTO keys or completed your reno? 🚪🏠
Don’t let hidden dust, dirt, and chemical smells spoil your fresh new start!


At Be Mitey Clean, we specialise in Post Renovation Cleaning designed for new homes:
✅ Tackle stubborn micro dust left from renovation
✅ Comprehensive checklist + final walkthrough
✅ Commercial-grade equipment & safe solutions
✅ Free window pressure steaming included

We also provide:
✨ Floor Deep Cleaning – Removes dirt from gaps, adds anti-bacterial matte coating
✨ Formaldehyde Removal – Neutralises chemical odours, safe for kids & pets

Join our BTO Group Buy Promo and enjoy huge savings:
💰 Post Reno Cleaning: Up to 15% OFF
💰 Package Deal: Up to 25% OFF
💰 Additional 10% OFF when you add on floor cleaning or formaldehyde removal!

Over 800+ 5-star Google reviews 🌟 trusted by homeowners across Singapore.

👉 Don’t wait – your dream home deserves a spotless, healthy start!",https://bemiteyclean.com/,+6531383803,https://btogroupbuy.sg/brand/be-mitey-clean-d46450c1-d873-4b62-9480-b14b581768ea,6,BTO Spring Cleaning Package - 10%OFF | BTO Post Renovation Cleaning Package - 10%OFF | BTO Furniture Deep Cleaning Promo - 10% OFF | BTO Formaldehyde Removal Group Buy Singapore | BTO Floor Deep Cleaning Group Buy Singapore | Post Renovation Cleaning Up To 15% OFF
Bedtribe,Bedroom,Bedding and furniture ,https://www.bedtribe.com/?srsltid=AfmBOorci5VVDNF-iz5KJt_qTzrJnsXLFSR08xBLZ9tMYlXh8JHxDHQB,+6588942312,https://btogroupbuy.sg/brand/bedtribe-4a11e0fc-f30d-48fe-982a-4ee23f7d7533,1,12% Off Iced Bamboo Sheets Set
Benjamin Moore,Painting,"When it comes to premium paints for your home, Benjamin Moore has set the standard for excellence.",https://www.benjaminmoore.sg/,+6569700891,https://btogroupbuy.sg/brand/benjamin-moore-91c7da09-b50f-48c7-8af8-e107aed09ed9,1,Trusted signature painting packages from $1400
BTO Acrylic Panel,Bathroom,,https://t.me/sgbtogroupbuy/316,+65  8169 5878,https://btogroupbuy.sg/brand/bto-acrylic-panel-3bd1ce12-9dfa-4a52-a631-27f5056f656a,1,Bathroom Acrylic Panels BTO Group Buy
BTO Acrylic Panel Group Buy,Bathroom,,btogroupbuy.sg,8169 5878,https://btogroupbuy.sg/brand/bto-acrylic-panel-group-buy-e3c13421-383c-4998-8d73-44e7e8945629,1,💡Acrylic Panel BTO Group Buy🔥+  FREE Post-Renovation Cleaning Voucher🔥
Budget Painting SG,Painting,"100% CHEAPEST House Painting Services Singapore
Your most affordable, reliable, best painters for house painting Services Singapore. Call us for a free price quote. ",,+6596413530,https://btogroupbuy.sg/brand/budget-painting-sg-0e6ea916-9cc9-4b0f-81cf-ecc8e87b0db9,1,BTO Painting Service
Casa Concetto - Premium Luxury Furniture,Furniture,Has assembly service,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.casaconcetto.sg%2F%3Fsrsltid%3DAfmBOopw4yCiuyg3TUET0MWUUwJPKWJLsMVq2wKc6NN6nm3kIfOPa05B&psig=AOvVaw3CoD42V0KOG7xu2-1hJPyj&ust=1753264541408000&source=images&cd=vfe&opi=89978449&ved=0CAMQjB1qFwoTCLjr0LXB0I4DFQAAAAAdAAAAABAE,+6531384896,https://btogroupbuy.sg/brand/casa-concetto--premium-luxury-furniture-57882f67-e08b-4865-a615-e02be18f7536,6,"Customisable Fabric Sofa with (any) coffee table $1,500 - $10,000 | Queen/King Size Mattress $1,800 - $4,800 | Customisable Designer Bedframe | Customisable Rug $500 - $2,000 | Customisable Full-Grain Leather Sofa with (any) coffee table | Customisable Sintered Stone Dining Table with (any) Dining Chairs "
Chemicaless Cleaning,Cleaning Services,"Upholstery Deep Cleaning Group Buy – Save 45%!

Hi neighbors! We’re organizing a group buy for professional upholstery deep cleaning at a special rate of just $66 per item (usual price $120**) – that’s a **45% savings!

To activate this promotion, we need at least 10 households to join in. This is a great opportunity to refresh your sofa, mattress, curtains, and carpets at a discounted rate!

Why deep clean?  
Upholstery and soft furnishings act like sponges – they trap dust, allergens, bacteria, and even pests over time. Even if they look clean on the surface, deep cleaning at least once a year helps remove hidden dirt, improves indoor air quality, prolongs the life of your furniture, and creates a healthier home environment for your family.

Interested? Drop a message here or contact me directly to register your interest. Let’s keep our homes clean and comfortable together!

T&C Applies",https://www.facebook.com/chemicalesscleaning,+6580694918,https://btogroupbuy.sg/brand/chemicaless-cleaning-59bd5e91-a8d6-4ac8-b8f5-988c1cbc58ef,1,Upholstery Deep Cleaning Group Buy – Save 45%!
Cleanzonesg,Cleaning Services,,https://www.instagram.com/cleanzonesg?igsh=bTZ6b3V1ZDd1ZWQy,+65 8853 2729,https://btogroupbuy.sg/brand/cleanzonesg-40d29f15-979a-4a0e-93b3-d0a96d89faf2,4,🔥 BTO FORMALDEHYDE REMOVAL - From just $250 🔥 | 🧽 BTO End of Tenancy Cleaning – From Just $320 🧽 | ✨ BTO Deep Scrubbing Cleaning – From Just $188! ✨ | BTO Post Renovation Cleaning from $270
Clover Sleep,Bedroom,,https://www.sweetdreams.sg/,6591193786,https://btogroupbuy.sg/brand/clover-sleep-81d9ad21-344e-456e-bdb4-a508345b9438,1,Clover Adjustable Bed 16% OFF Bundle Deal+ Exclusive $168 OFF For BTO Group Buy
Cosmos Decor Carpentry Singapore,Renovation & ID,Carpenter,https://www.cosmosdecor.com/,+6598806353,https://btogroupbuy.sg/brand/cosmos-decor-carpentry-singapore-0c54e756-3992-46e3-99ec-fc2520b722ab,1,BTO Renovation Package Saving Up To $2000
Coway Singapore,Water,"After completing construction in 1994, Korea's Yugu factory expanded in 1995 to become the world’s largest consumer electronics manufacturing site. By 1997, it began producing 1.44 million water filtration devices annually using a high-tech Programmable Logic Controller (PLC)-based automated facility.

The factory emphasized sustainability and quality by implementing a zero-fault system, establishing an Environmental R&D Centre, and launching the Water Analysis & Research Centre (WARC), achieving zero waste and defects while boosting productivity and reducing costs.",www.coway.sg,+65 88961813,https://btogroupbuy.sg/brand/coway-singapore-c3d9a6a2-b8ed-465a-97ce-6203cf984076,1,Water Purifier Coway Singapore BTO Group Buy - 20% Off
Desh Door,Door & Locks,"Your main door is the first thing everyone notices — why settle for ordinary when you can have a door that makes a statement and keeps your home secure?

Meet Desh Door from Deshin Group: a premium, durable door solution engineered for style, safety, and longevity. With solid craftsmanship, modern materials, and aesthetic finishes, it blends beautifully with contemporary interior design while meeting functional needs.


Here’s why homeowners love Desh Door:
✅ Robust Construction — Built to resist everyday wear, moisture, and warping.
✅ Elegant Finishes — Sleek, modern aesthetics that elevate the look of your entrance.
✅ Enhanced Security — Secure locking system and strong frame to protect your household.
✅ Low Maintenance — Clean finish, resilient materials, keeps good look over time with minimal effort.


Don’t wait until your old door drags down your home’s curb appeal and safety. Upgrade to Desh Door today — visit the Deshin Group site to explore models, get sizing info, and order the right fit.",https://deshingroup.com/,6592317826,https://btogroupbuy.sg/brand/desh-door-1f0505bb-7b5e-4b30-84b5-717d01684ffb,2,Desh Door Vala Series Saving $80 | Desh Door Fenna Series Saving $80
Direct Plumber,Plumber,#1 Cheap Plumbing Services Singapore,https://directplumber.sg/,+6589322345,https://btogroupbuy.sg/brand/direct-plumber-5a946a65-eecc-47cc-8f9a-5b1e9abcfc48,2,Plumbing - Installation  | Plumbing deals
Dr Penguin Aircon,Aircon Installation,"❄️❄️ SG BTO OWNERS – EXCLUSIVE AIRCON DEALS ❄️❄️

🔥 Just collected your BTO keys? Don’t wait till the heatwave hits! DR PENGUIN AIRCON brings you up to 20% OFF selected Daikin & Mitsubishi Starmex systems — only for BTO group members!

Enjoy exclusive prices (with warranty, free delivery & installation included):
✅ Daikin / Mitsubishi Starmex System 2 – from $2,368 (U.P $2,910)
✅ Daikin System 3 – from $3,468 (U.P $4,140)
✅ Daikin / Mitsubishi System 4 – from $4,268 (U.P $5,300)

Why choose Dr Penguin?
✔ FREE on-site consultation
✔ High-quality workmanship
✔ Durable materials for long-lasting comfort
✔ Transparent pricing (no hidden costs!)
✔ Authorized reseller for reputable aircon brands

🎁 Plus, redeem 2 FREE aircon servicing sessions within your first year of purchase — peace of mind guaranteed.

👉 Call / WhatsApp us at 9688 5475 now to lock in your BTO deal.
👉 Visit drpenguinaircon.sg for details.

Stay cool, save big, and let Dr Penguin take care of your comfort! 🐧❄️",https://drpenguinaircon.sg/,6596885475,https://btogroupbuy.sg/brand/dr-penguin-aircon-a57f3084-fda5-44be-a258-4344b31ab1d1,2,🔥Aircon Cleaning Service Promotion BTO Group Buy - Now $30 🔥 | Aircon Installation 20% OFF + FREE 2xservicing
Easy Painting,Painting,Affordable SG Painting Services Without The Headache!,https://easypainting.sg/#contact, +6587883388,https://btogroupbuy.sg/brand/easy-painting-8081bee0-3488-4231-8c3f-430651d2611c,2, Painting - Odour less Ultra Durable  |  Painting - Odour less
Easy Plumber,Plumber,We offer 24/7 emergency plumbing services and provide immediate emergency plumbing,https://easyplumber.sg/,+65 88661005 ,https://btogroupbuy.sg/brand/easy-plumber-a7f45f7f-0e0f-439d-94f6-f8259c2aef7a,2,Plumbing- Installation  | Easy Plumbing deals 
EasyClean,Cleaning Services,"🏡✨ BTO Owners Special – EasyClean SG Bundle Deal ✨🏡

Just collected your keys? After renovation, your new home may look beautiful… but it’s often filled with dust, debris, and harmful formaldehyde 😷. Don’t risk your family’s health!

EasyClean SG offers a complete post-renovation cleaning + formaldehyde removal bundle — so your home is not only spotless but also safe and fresh for move-in.

✅ Affordable, all-in-one packages for BTOs:
* 2-room Flexi: $390 NETT
* 3-room: $490 NETT
* 4-room: $590 NETT
* 5-room: $690 NETT

💡 Condo owners? We’ve got you covered too – from just $390 NETT onwards.

With our professional team, proven cleaning methods, and formaldehyde removal expertise, you can move into your dream home with peace of mind. 🧹🌿

👉 Book your EasyClean SG BTO bundle deal today!",https://www.easycleansg.com/,6585430471,https://btogroupbuy.sg/brand/easyclean-adb4ba41-5dd7-4c5a-bf21-35741eb1b30a,3,Formaldehyde Removal enjoy 10% OFF | Post Renovation Cleaning enjoy 10% OFF | Bundle Deal Post-Renovation Cleaning + Formaldehyde Removal
Eazea Coming Soon,Door & Locks,"No.1 Digital Locks Provider in Singapore

As Singapore’s No. 1 Digital Lock Provider, Eazea is a proud homegrown conventional digital lock brand, featuring over 5,000 5-star reviews on Facebook and Google for our professional services and quality products. We provide a wide range of digital locks for doors and gates that can offer your property the security measures it deserves to keep you and your loved ones safe and sound. To showcase our commitment, we are proud to share that we are Premium Partners of Samsung’s Smart Lock and Philips’ Digital Lock, as well as Exclusive Distributors of Midea’s Smart Lock.

Enjoy robust, high-tech digital lock systems to safeguard your home; going keyless is Eazea!",https://www.eazea.sg/,6583836777,https://btogroupbuy.sg/brand/eazea-coming-soon-c5bc11cb-d11f-48cd-89fb-7d3124285444,1,Coming Soon 
EMILIO'S DEFECT CHECK,Defect Checking,, https://carousell.app.link/tL7z6MOHM1b,+65 8416 2604,https://btogroupbuy.sg/brand/emilio's-defect-check-8bd6aeb8-ed16-49ce-b7e9-5e96c42a4473,1,🔥BTO Defect Check Promo – From $80 | HDB & Condo Packages Available🔥
EMILIO'S SOLUTIONS,Cleaning Services,, https://carousell.app.link/tL7z6MOHM1b,84162604,https://btogroupbuy.sg/brand/emilio's-solutions-818cac18-a3ea-436e-b23f-7d5e59d577d4,1,BTO Post Renovation Cleaning Full Package Group Buy - 34%OFF
Englander Singapore,Bedroom,"Englander Singapore
Where American legacy meets Singaporean comfort. Since 1894, Englander has been crafting sleep systems built on science and trust, and since 1999, we’ve brought that same excellence to Singapore. Our orthopaedic mattresses combine Synergy™ Memory Latex for adaptive pressure relief and Organic Latex for natural, breathable support, giving you the perfect balance of comfort and spine alignment, night after night.",englander.com.sg,+65 8973 8989,https://btogroupbuy.sg/brand/englander-singapore-3c80fca9-2cde-4488-b808-26ef399c4703,1,🏠 BTO 11.11 Trade-In Bundle Mega Sale
Ergoworks,Furniture,"Where Our Story Began.....
Our journey began with a simple goal: to ease back pain.

When our founder bought a new ergonomic chair, he expected comfort—but instead, the chair gave way beneath him. That moment revealed a bigger problem: too many “ergonomic” solutions don’t actually work.

So we set out to change that.

Starting as frustrated users, we partnered with posture experts and doctors to design products that truly support your body. Every item is carefully crafted, tested, and refined to put your comfort and well-being first.

Because we believe everyone deserves to feel better at work and at home.",https://ergoworks.com.sg/?srsltid=AfmBOorTjmlMXQoodx1RzCQDcmcn80u0njLcA8_8e9O5gq3XCY6uZm81, 6596691184,https://btogroupbuy.sg/brand/ergoworks-df01b002-5fc6-4bb4-9539-2aac4240c3e1,3,IMPACT Ergonomic School Bags + Free Tuition Tote Bag enjoy 25% OFF | Ergoworks Impact Kids study set with 20% OFF with min 15 participant | Ergoworks Customise desk or chair with 20% OFF with min 15 participant
F31.sg,Furniture,"Your Number One Online Furniture Store!

We are a dedicated team of furniture provider that provides high quality and premium furnitures with outstanding services.",https://f31.sg/home-base/,+6596696448,https://btogroupbuy.sg/brand/f31.sg-f72bf624-3ec3-4f6d-9874-3cd27d49e5d6,2,F31 BTO Package from $499 | F31 Furniture Sale up to 80%
Fixlaa,Painting,"Fixlaa is your trusted partner for home maintenance in Singapore. We connect you with highly trained and vetted technicians for all your needs — from air‑conditioning servicing to plumbing, electrical repairs, pest control, and more. Every technician on our platform is carefully screened, and we back all work with a 90-day service guarantee, so you can rest easy knowing your home is in good hands. With transparent pricing and easy online booking, Fixlaa makes home repair simple, reliable, and stress-free.",www.fixlaa.com,+65 84125112,https://btogroupbuy.sg/brand/fixlaa-42441869-4c61-4f41-a01c-880340527905,1,BTO New Year sale - Painting
Fornax,Bathroom,"🚀 Ready to Renovate Without Regrets?

Most IDs promise you the lowest price up front… only to hit you later with endless “Variation Orders” that can easily add tens of thousands more to your bill. By the time you realise, you’re already locked in.

At Fornax Interior, we believe your renovation journey should be exciting, transparent, and stress-free—not a guessing game filled with hidden costs. Unlike many IDs who lure homeowners with lowball quotes only to issue endless Variation Orders later, we take a different approach:

✨ Why Homeowners Choose Us:

No Hidden Costs: We don’t play the “cheap first, charge later” game. Our pricing is transparent from Day 1.

Faster Renovations: Our Dual ID Blueprint Process has proven to get you into your dream home sooner, saving you money on rent or temporary stays with your in-laws. (*psst, we usually complete renovation around 6 weeks)

Truly Move-In Ready: Unlike most IDs, we coordinate your furniture & fittings so your home is fully liveable at handover.

🏠 Whether it’s your BTO, resale flat, condo, or landed home, we help you create a space you’ll love—without the stress, without the surprises.

👉 Don’t settle for pretty promises. Renovate smart with Fornax Interior SG—where honesty meets design.

www.fornax.sg",https://www.fornax.sg/,+6598437754,https://btogroupbuy.sg/brand/fornax-b3444f26-ff71-4119-bb03-c18c4d89fe3a,1,Sign up your renovation + FREE Gift worth $1149
GinGko Interior Solutions,Furniture,,gingkosolutions.com,90384333,https://btogroupbuy.sg/brand/gingko-interior-solutions-2d374f1c-0949-4fc3-a2f5-3736e283eea2,2,🔥BTO Whole House Carpentry Package 🔥 | 🔥BTO Aluminium Kitchen Cabinet Promo🔥
Go Digital Lock Pte Ltd,Door & Locks,,godigitallock.com,87828818,https://btogroupbuy.sg/brand/go-digital-lock-pte-ltd-6c48d844-571f-466b-9a67-d1e068540f44,2,Digital Door & Gate Lock Bundle Chinese New Year - 24%OFF | 🔥HDB BTO Digital Lock Package – Gate + Door Bundle🔥
