name,category,in_bishan,live,dtc,email,whatsapp,website,facebook,instagram,wa_group,wa_group_admin,slug,page_url,description
Casa Concetto - Premium Luxury Furniture,Furniture,yes,True,False,showroom@casaconcetto.com,88040105,www.casaconcetto.sg,casaconcettosg,casa_concetto_sg,,5970,casa-concetto,https://findgroupbuy.com/brand/casa-concetto,"Crafting spaces filled with timeless elegance and cherished memories, Casa Concetto aims to redefine the essence of home living.   We inspire individuals to curate spaces blending comfort, style, and lasting beauty.   Our vision is to elevate the art of living, enriching lives through design and unforgettable moments."
Zessentials Holdings Pte Ltd,Home and Living,yes,True,False,sales@zessentials.sg,88009871,https://zessentials.sg/,https://www.facebook.com/ZEssentialsHoldings,https://www.instagram.com/zessentialsholdings/,,5970,zessentials,https://findgroupbuy.com/brand/zessentials,"At Zessentials, we offer more than just storage racks; we provide smart space solutions. Our versatile shelves adapt to any configuration, maximizing every inch of your space. Enjoy uncompromised quality at affordable prices"
J+U Envirolution,Services,,False,False,ryan@juconsultancy.sg,88149919,https://juenvirolution.sg/,J+U Envirolution,@juenvirolution,,5970,juenvirolution,https://findgroupbuy.com/brand/juenvirolution,"At J+U Envirolution Pte Ltd, We're committed to transforming spaces through exceptional cleaning services. From post-renovation cleaning to our specialized Vinyl Floor Care Package - Which includes Scrubbin, polishing and applying of a protective coat- We deliver spotless results. Stay tuned for new services, like upholstery cleaning, coming soon!  Live impactful lives with J+U!!"
338 Aircon,Services,,False,False,homesolutions@338aircon.sg,86884141,,,,,5970,338aircon,https://findgroupbuy.com/brand/338aircon,
TY Invisible Grille,Services,,False,False,tengyongsales@gmail.com,83394146,https://tyinvisiblegrille.com/,,,,5970,ty-invisible-grilles,https://findgroupbuy.com/brand/ty-invisible-grilles,"One of the leading specialists of invisible grilles in Singapore, Teng Yong Invisible Grille offers superior window safety solutions for families in Singapore at affordable prices. With our expertise and professionalism, we strive to create a safe and comfortable interior for each client that engages us."
SG Clean,Services,,False,False,sgcleanpteltd@gmail.com,,sg-clean.info,SG Cleaning Solutions,@bookings.sgclean,,5970,sgclean,https://findgroupbuy.com/brand/sgclean,"Here at SG CLEAN, we are professionals in Mould treatment, Upholstery cleaning & quality painting packages."
ADOORE Singapore,Furniture,,False,False,sg@adoore.com.sg,88258263,https://adoore.com.sg,Adoore SG,@adoore.sg,,5970,adoore,https://findgroupbuy.com/brand/adoore,
Oculus Collective,Home and Living,yes,True,False,darrensiew@gmail.com,91247895,https://oculus-collective.com/,0culus Collective,0culuscollective,,5970,oculus-collective,https://findgroupbuy.com/brand/oculus-collective,"Combining science with magic, we engineer doors of imagination and windows of possibilities."
Kim Huat Co.,Home and Living,,False,False,enquiry@kimhuat.co,84187936,https://www.kimhuat.co/,https://www.facebook.com/Kimhuatsg/,,,5970,kimhuatco,https://findgroupbuy.com/brand/kimhuatco,
MyRepublic | #1 Fibre Broadband Provider in SG,Services,yes,True,True,hello@findgroupbuy.com,80685970,https://myrepublicsg.pxf.io/c/5820268/2216683/14471,https://www.facebook.com/MyRepublicSG/,https://www.instagram.com/myrepublicsg/,,5970,myrepublic,https://findgroupbuy.com/brand/myrepublic,"MyRepublic is a top broadband provider in Singapore, known for its fast, reliable, and affordable internet. Offering flexible plans for all users, from casual browsers to avid gamers, MyRepublic ensures seamless, high-speed connectivity and exceptional customer support. Perfect for streaming, gaming, or remote work, MyRepublic keeps you reliably connected every day."
KKPL,Kitchen,yes,True,False,elaine@kkplgroup.com,86014500,https://www.kkpl.com.sg,https://www.facebook.com/kkplsingapore,https://www.instagram.com/kkplsingapore/,,5970,kkpl,https://findgroupbuy.com/brand/kkpl,"Koncept Kreation Private Limited, also know as KKPL was established on 2014, concentrating predominantly on industrial and furniture hardware products.  With a well-built team that has more than 18 years of experience in this industry, we have grown steadily to be the prime provider for comprehensive industrial and engineering hardware products with the best quality in both products and services.  Tapping into modern carpentry solutions, we continuously explore high quality fixtures and fittings to our clients. We aim to be the brand that prioritised our customers' needs, upholding our corporate slogan ""Service Our Forte"". With innovative systems, we want to activate every possible space you have that minimizes inefficiency and clutter."
Aerify,Furniture,yes,True,False,info@uiss.com.sg,96636864,https://www.aerify.sg,,https://www.instagram.com/aerifysg,,5970,aerify,https://findgroupbuy.com/brand/aerify,"Say goodbye to harmful moulds and mites, and hello to freshly aired and sterilised daily wear through our range of smart dehumidifying and purification devices. Aerify’s range of smart dehumidifiers made for both functionality and aesthetic. Finished with elegant finishes, they are perfect for those who are in search of purpose and style."
Tile Grout Singapore,Services,yes,True,False,weijie@tritoncon.sg,91115778,www.epoxygrout.sg,Tile Grout Singapore,@tilegroutsg,,5970,tilegroutsg,https://findgroupbuy.com/brand/tilegroutsg,"Transforming your spaces with durable, stain-resistant, and visually appealing epoxy grouting solutions. Our expert team specializes in professional grout services to enhance and protect your tiles, ensuring long-lasting beauty and functionality for your home or business."
STEELFRAME,Bedroom,yes,False,False,info@uiss.com.sg,96636864,www.steelframe.sg,,https://www.instagram.com/steelframe_official/,,5970,steelframe,https://findgroupbuy.com/brand/steelframe,Your Wardrobe Fittings Specialist. Artisan fittings tailored made for modern day dressing rooms.
Kim's Aircon,Air Condition,yes,True,False,contact@kimsaircon.com.sg,88171587,https://kimsaircon.com.sg/,https://www.facebook.com/kimsaircon/,https://www.instagram.com/kimsairconsg/,,5590,kims-aircon,https://findgroupbuy.com/brand/kims-aircon,"Founded as Kim’s Air Conditioning Services in 1996, Kim’s specialise in providing premium air conditioning services from residential to commercial solutions.  At Kims Aircon, we specialise in providing premium air conditioning services tailored to meet your comfort needs. From residential installations to commercial ACMV solutions, we offer a comprehensive range of services designed to keep you cool and comfortable all year round.  Authorised Dealer for Mitsubishi Electric & Daikin Aircon"
Jestac - Home Solution Provider,Home and Living,,False,False,sales@jestac.com.sg,91054115,https://www.jestac.com,https://www.facebook.com/jestac/,https://www.instagram.com/jestacsg,,5970,jestac-3mfilm,https://findgroupbuy.com/brand/jestac-3mfilm,"With over 30 years of expertise, Jestac is a trusted 3M™ authorized distributor, offering home improvement solutions that prioritize safety, energy efficiency, and sustainability. We offer high-quality brands such as 3M™, Solventum, and No Skidding® to meet diverse residential and commercial needs.  Our solutions include: * 3M™ Sun Control Window Films * 3M™ Safety & Security Films * 3M™ DI-NOC Vinyl Films * No Skidding® Anti-Slip Floor Treatment * Solventum Aqua Pure AP Easy Under Sink Water Filtration System * Gauzy Switchable Smart Films  Boasting Singapore's largest window film in-house installation team professionally certified by 3M, Jestac guarantees seamless and reliable service to create safer, more efficient spaces.   3M Window Films, 3M Safety & Security Films and 3M DI-NOC are backed by 3M's warranty."
Haylee Mattress,Bedroom,yes,False,True,cassandra@otterhalf.co,,https://haylee.sg/,https://www.facebook.com/hayleemattress/,https://www.instagram.com/hayleemattress/,,5970,the-hayley-mattress,https://findgroupbuy.com/brand/the-hayley-mattress,"Designed in Singapore, the Haylee mattress provides remarkable comfort and was thoughtfully built to let your body enjoy the rest that you simply don’t enjoy enough."
Remode Hub Pte Ltd,Smart Home,,False,False,remodehub@gmail.com,88872723,https://remodehub.com/,https://www.facebook.com/remodehub,https://www.instagram.com/REMODEHUB,,5970,remodehub,https://findgroupbuy.com/brand/remodehub,Singapore 🇸🇬 Top-Selling Automated Laundry System Brand | CaseTrust Accredited  Find us at our Ubi Showroom for: ✅ Automated Laundry System ✅ Laundry Capsules ✅ Bathroom Vanity Set ✅ Kitchen Sinks ✅ Bathroom Accessories ✅ Air Purifiers ✅ Dehumidifiers and more!
Saniton Ceramic Pte Ltd,Bathroom,yes,True,False,ecommerce@saniton.com,90482294,https://www.saniton.com/,https://www.facebook.com/sanitonceramicwares,https://www.instagram.com/saniton.sg/,,5970,saniton,https://findgroupbuy.com/brand/saniton,"For over 35 years, Saniton has been a trusted name in Singaporean homes, delivering reliable and modern sanitary ware. With advanced sanitary technology and innovative hygiene solutions, we redefine cleanliness for homes—enhancing hygiene, comfort, and design for modern living.    Whether you're upgrading or moving into a new space, Saniton is your go-to brand for all your bathroom needs!"
WindowShield Pte Ltd,Home and Living,yes,True,False,chjasontan@gmail.com,85128055,,,https://www.instagram.com/windowshieldsg,,5970,windowshield,https://findgroupbuy.com/brand/windowshield,Your go-to expert for windows related installations! With years of experience in ensuring safety without compromising aesthetics.
Sunday Bedding,Bedroom,yes,True,True,clara.teo@sundaybedding.com,80685970,www.sundaybedding.com,https://www.facebook.com/sundaybedding,https://www.instagram.com/sundaybedding,,5970,sunday-bedding,https://findgroupbuy.com/brand/sunday-bedding,"At Sunday Bedding, we believe that great design and unparalleled quality should be accessible. Think of us as your sleep sommelier - here to expertly match our products to your unique sleep preferences, so you can wake up feeling refreshed."
ViewQwest,Services,,False,True,sebastian.law@viewqwest.comv,80685970,https://viewqwest.com/sg/,,,,5970,viewqwest,https://findgroupbuy.com/brand/viewqwest,"Give your home the best it deserves with the unbeatable value of XGSPON broadband from just $18.98/month. With ViewQwest III (3Gbps) and ViewQwest X (10Gbps), leverage Singapore’s fastest and most secure broadband, offering speeds up to 10Gbps, paired with next-generation WiFi 7 devices. Enjoy seamless connectivity nationwide and elevate your online experience to new heights!"
Magnetite Singapore,Home and Living,yes,True,False,carisa@magnetite.com.sg,87275631,https://magnetite.com.sg/,https://www.facebook.com/magnetite.com.sg,https://www.instagram.com/magnetite.singapore/,,5970,magnetite-window,https://findgroupbuy.com/brand/magnetite-window,"Enjoy the benefits of double glazing in your BTO – fully HDB compliant noise and heat reduction!   Magnetite Singapore provides retrofit double glazing for existing windows which dramatically improves the comfort of a room by reducing noise and heat transmission. Our system is imported from Australia and custom made for you in our Singapore factory. We’re proud to be recognized for our hard work and commitment, winning awards like the APAC Insider Singapore Business Award for Leading Innovators In Glazing Solutions and the Singapore SME Award Winner 2023. We are also Bizsafe 3 certified, which demonstrates our commitment to maintaining the highest safety standards in our operations.  As a leading provider of soundproofing solutions, we understand how important it is especially for new homeowners, to create a peaceful living space. After all, your home should be a sanctuary from the noise of the outside world. Whether you're settling into a bustling neighborhood or wanting to prevent sounds from travelling out from your unit,  Magnetite Singapore offers tailored solutions to meet your specific soundproofing needs, ensuring you enjoy a quieter, more comfortable home."
Domaco,Bathroom,,False,False,contact@domaco.com.sg,81816085,,,,,5970,domaco,https://findgroupbuy.com/brand/domaco,
Levels (Vhive),Furniture,,False,False,support@levels.sg,84900084,https://levels.sg/,,https://instagram.com/levels.sg,,5970,levels-living,https://findgroupbuy.com/brand/levels-living,Levels is a modern furniture brand in Singapore offering customizable home and office furniture at mass-market prices. We specialize in space-efficient designs tailored to your exact dimensions and layout preferences — combining premium craftsmanship with outstanding value.
PassionHome.sg,Smart Home,yes,True,False,sales@passionhome.sg,90517063,https://passionhome.sg/,https://www.facebook.com/PassionHomeSG/,https://www.instagram.com/passionhome.sg/,,5590,passionhomesg,https://findgroupbuy.com/brand/passionhomesg,Established since 2017. PassionHome.sg is your complete solution for home and smart home living.
Jia Le Curtains & Blinds | SG Specialist,Home and Living,yes,True,False,sales@jialetextile.sg,91260139,https://www.jialetextile.sg/,https://www.facebook.com/shopjltsg,https://www.instagram.com/shopjltsg/#,,5970,jiale-textile,https://findgroupbuy.com/brand/jiale-textile,SINCE 1998.
The Laundry Valet,Home and Living,yes,True,False,hello@thelaundryvaletsg.com,82051552,https://www.thelaundryvaletsg.com/,https://www.facebook.com/share/1FTEk1Kd7Q/,https://www.instagram.com/thelaundryvaletsg/#,,5970,the-laundry-valet,https://findgroupbuy.com/brand/the-laundry-valet,"Your 24/7 online laundry store that serves you convenience and quality. Outsource your bulky bedding washes, dry clean your winterwear and your favourite suits and dresses, or even let us take away your laundry completely by doing a regular weekly wash with us.   All prices includes pickup and delivery.  Min. order of $40.   We ARE the convenience you desire.  Talk to our friendly staff today!"
Hanman International Pte Ltd,Access and Locks,yes,True,False,,83635205,https://www.hanman.net/,https://www.facebook.com/p/Hanman-Digital-Lock-61551021771306/,https://www.instagram.com/hanmandigitallock/,,5970,hanman,https://findgroupbuy.com/brand/hanman,"About Hanman  Established in 2005, Hanman is a leading distributor and service provider of smart home and digital door lock solutions in Singapore. With a strong retail network and resources, Hanman has secured distributorships with top brands like Aqara, Samsung, Zigbang, igloohome, and Suprema in the smart home, smart lock, and security sectors. Hanman excels in customer support and after-sales service, making it a trusted partner for both commercial and residential projects. The company adheres strictly to fire safety regulations and secures all necessary certifications for project execution. We also offer 24-hour service and support to ensure uninterrupted customer satisfaction. Leading the Future of Smart Home Living  Established in 2005, Hanman is a leading distributor and service provider of smart home and digital door lock solutions in Singapore. With a strong retail network and resources, Hanman has secured distributorships with top brands like Aqara, Samsung, Zigbang, igloohome, and Suprema in the smart home, smart lock, and security sectors. Hanman excels in customer support and after-sales service, making it a trusted partner for both commercial and residential projects. The company adheres strictly to fire safety regulations and secures all necessary certifications for project execution. We also offer 24-hour service and support to ensure uninterrupted customer satisfaction. Smart Home Business  Hanman is a pioneer in the smart home and smart lock market in Singapore, offering a wide range of Home IoT products and services from leading brands like Aqara, SmartThings, Samsung, Zigbang, and igloohome. We cater to both mass market and B2B segments across residential and commercial sectors. Our skilled technicians and installers ensure a seamless user experience. Security System Business  Hanman is an authorized distributor of Suprema, a global leader in access control, time & attendance, and biometric solutions. We offer a comprehensive access control system featuring AI-based face recognition, fingerprint access, and a TCP/IP-based system architecture, supported by intelligent IP readers for enhanced efficiency."
Kaadas Singapore,Access and Locks,yes,True,False,hello@thesmartseries.com,89342923,https://www.kaadassg.com,https://www.facebook.com/Kaadas/,https://www.instagram.com/kaadas.singapore/,,5970,kaadas,https://findgroupbuy.com/brand/kaadas,"Kaadas is a global leader in smart digital locks, delivering security, style, and innovation to modern homes. With a legacy of precision engineering and cutting-edge technology, Kaadas offers a comprehensive range of digital locks that combine elegance with functionality. Trusted worldwide, Kaadas provides peace of mind through reliable and user-friendly solutions.  Global Presence Trusted in over 36 countries across 6 continents, Kaadas brings cutting-edge security solutions to homes and businesses worldwide. With 400+ international patents, every lock is built on innovation, ensuring the highest standards of quality, reliability, and technology.  End to End Product Development Designed, developed, and manufactured in-house, every Kaadas lock is crafted with precision and care. From engineering to testing, strict control over the entire process guarantees top-tier security, seamless performance, and a smarter way to protect what matters most.  Industry-Leading Manufacturing & Innovation  As the world’s largest digital lock manufacturer, Kaadas operates a massive 308,000 sq.m. production facility, ensuring exceptional quality at scale. Backed by three state-of-the-art R&D facilities, every lock is designed to set new industry benchmarks in security and convenience."
Sinewy SG,Home and Living,yes,True,False,HHK_trading@outlook.com,96387428,https://shopee.sg/sinewy_co#product_list,,,,5970,sinewy,https://findgroupbuy.com/brand/sinewy,"Sinewy SG brings you the safest ladder with the most contemporaneous design for your home and office.  GS TUV Certified EN14183, our step ladders offer maximum stability and security for you and your family.  Sinewy Ladder benefits: * Wide Steps and Anti-slip * All edges rounded for safety * Lightweight and compact * Designed to last a lifetime"
KMAC Singapore,Services,yes,True,False,huimin@kmac.com.sg,98801528,https://kmac.com.sg/,https://www.facebook.com/kmacint,https://www.instagram.com/kmacinternational/,,5970,kmac-cleaning,https://findgroupbuy.com/brand/kmac-cleaning,"KMAC International Pte. Ltd. was founded in 2010. We are professional and licensed cleaning company in Singapore. Always provide quality, trustworthy and affordable services for our clients."
Pacco Pte Ltd,Home and Living,yes,True,False,xychris@pacco.com.sg,81980379,www.paccofilms.com,https://www.facebook.com/paccofilms,https://www.instagram.com/paccofilms/,,5970,pacco,https://findgroupbuy.com/brand/pacco,"Established in 1988, Pacco specialises in commercial plastics polymer solutions and architectural films. We believe in sustainability, innovation, and providing comfort and energy efficiency in very space without sacrificing aesthetics. Our window films provide a solution to harsh tropical heat and UV exposure in offices, commercial buildings, and homes. Designed using our dual UV curing process, and superior sputtering technology, our Pacco GREEN series of window films is the first of its kind. Pacco GREEN reduces energy consumption by up to 30%, making it the world’s greenest window film. Our track record spans thousands of residential and commercial clients; including luxury developments, government institutions, top-tier hotels, commercial offices, and hospitals."
Singtel,Internet,yes,True,False,hello@findgroupbuy.com,80685970,https://www.singtel.com/personal/products-services/mobile/eform/grab-a-salesman-event?campaign,,,,5970,singtel-broadband,https://findgroupbuy.com/brand/singtel-broadband,Get More with Singtel's All-in Broadband Plans  📢 Singtel Exclusive Group Buy Promo – Limited Time Only! Singtel fiber plans from $29.90 onwards  📦 FREE Modem & Router 🔧 FREE Service Installation 🆓 FREE Registration Fee 📞 FREE Digital Home Line 🎁 FREE Voucher 🎉 Additional Freebies & Shopping Voucher
Life by City Energy,Bathroom,yes,True,False,life@cityenergy.com.sg,81216816,https://www.cityenergylife.com.sg/,https://www.facebook.com/CityEnergySG/,https://www.instagram.com/cityenergysg/,,5970,life-by-city-energy,https://findgroupbuy.com/brand/life-by-city-energy,"With more than 160 years of operation in Singapore, City Energy supplies piped town gas nationwide.   Through Life by City Energy, it also provides IoT-enabled lower-carbon home and kitchen solutions.  Switch Better, Save Smarter with Life by City Energy."
Wood Origins,Floor,yes,True,False,hudson@woodorigins.sg,90398186,https://www.woodorigins.sg/,https://www.facebook.com/people/Wood-Origins/61550939594264/,https://www.instagram.com/woodorigins/,,5970,wood-origins,https://findgroupbuy.com/brand/wood-origins,"At Wood Origins, we believe that every step you take should be a testament to beauty, authenticity, and innovation. Our journey began with a simple yet profound passion – to bring the warmth and grace of natural wood into the heart of every home. With unwavering dedication, we have reimagined flooring and wall covering, transforming spaces into expressions of art and comfort"
Gyon Design and Build,Bathroom,yes,True,False,ymj.95@hotmail.com,90663136,,,,,5970,gyon-design-build,https://findgroupbuy.com/brand/gyon-design-build,"Gyon Design & Build specializes in bathroom transformations using premium acrylic wall panels and LED lighting to create sleek, modern spaces. With a focus on quality, durability, and ambient design, we deliver trusted service that elevates everyday living."
Diamond Glass,Home and Living,yes,False,False,diamondglass.singapore@gmail.com,80202891,,,diamondglass.sg,,5970,diamond-glass,https://findgroupbuy.com/brand/diamond-glass,"Diamond Glass Singapore specialises in custom glass door solutions featuring our signature Diamond Glide™ technology for premium quality Sliding, Folding, and Swing Doors, as well as Mirrors and Shower Screens.   Precision-engineered for perfection and durability, our products are locally made, offering factory-direct service with some of the shortest lead times in the industry.   Diamond Glass is trusted by homeowners, builders, and businesses across Singapore."
Futurahaus,Smart Home,yes,False,False,jayden.goh@futurahaus.sg,82015367,https://www.futurahaus.sg/,https://www.facebook.com/Futurahaus,futurahaus.sg,,5970,futurahaus,https://findgroupbuy.com/brand/futurahaus,Futurahaus is a smart home and home automation company based in Singapore. We aim to provide our clients with state-of-the-art products from only the best in the market. We strive to provide the best services and ensure all our systems are fully integrated to give our clients the full smart home experience.
Noble Surfaces,Services,,False,False,jason@vasari.com.sg,96333814,,,,,5970,noble-surfaces,https://findgroupbuy.com/brand/noble-surfaces,
